id,calendar_date,calendar_year,calendar_month,calendar_day,is_work_day
1,2021-1-1,2021,1,1,N
2,2021-1-2,2021,1,2,N
3,2021-1-3,2021,1,3,N
4,2021-1-4,2021,1,4,Y
5,2021-1-5,2021,1,5,Y
6,2021-1-6,2021,1,6,Y
7,2021-1-7,2021,1,7,Y
8,2021-1-8,2021,1,8,Y
9,2021-1-9,2021,1,9,N
10,2021-1-10,2021,1,10,N
11,2021-1-11,2021,1,11,Y
12,2021-1-12,2021,1,12,Y
13,2021-1-13,2021,1,13,Y
14,2021-1-14,2021,1,14,Y
15,2021-1-15,2021,1,15,Y
16,2021-1-16,2021,1,16,N
17,2021-1-17,2021,1,17,N
18,2021-1-18,2021,1,18,Y
19,2021-1-19,2021,1,19,Y
20,2021-1-20,2021,1,20,Y
21,2021-1-21,2021,1,21,Y
22,2021-1-22,2021,1,22,Y
23,2021-1-23,2021,1,23,N
24,2021-1-24,2021,1,24,N
25,2021-1-25,2021,1,25,Y
26,2021-1-26,2021,1,26,Y
27,2021-1-27,2021,1,27,Y
28,2021-1-28,2021,1,28,Y
29,2021-1-29,2021,1,29,Y
30,2021-1-30,2021,1,30,N
31,2021-1-31,2021,1,31,N
